,borough,neighborhood,building_class_category,block,lot,address,zip_code,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,nyc,manhattan,brooklyn,staten_island,bronx,queens
13388,manhattan,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,1531,1130.0,"205 EAST 85TH STREET, 16F",10028,2007,2,R4,2200000.0,9/26/19,True,True,False,False,False,False
68489,queens,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,11725,3.0,130-52 LEFFERTS BOULEVARD,11420,1920,1,A1,413950.0,1/10/19,True,False,False,False,False,True
56019,queens,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2133,16.0,"102-30 66TH ROAD, 12K",11375,1964,2,D4,345000.0,1/29/19,True,False,False,False,False,True
43840,bronx,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS,5771,20.0,"3600 FIELDSTON RD., 5A",10463,1941,2,D4,170000.0,7/8/19,True,False,False,False,True,False
4083,manhattan,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS,602,1231.0,"90 MORTON STREET, PH9B",10014,1911,2,R4,11608050.0,6/28/19,True,True,False,False,False,False
42882,bronx,PARKCHESTER,10 COOPS - ELEVATOR APARTMENTS,3931,6.0,"1922 MCGRAW AVENUE, 6E",10462,1929,2,D4,155000.0,10/4/19,True,False,False,False,True,False
10073,manhattan,SOHO,13 CONDOS - ELEVATOR APARTMENTS,594,2028.0,"15 RENWICK STREET, PH4",10013,2014,2,R4,5300000.0,6/27/19,True,True,False,False,False,False
45264,bronx,THROGS NECK,02 TWO FAMILY DWELLINGS,5576,130.0,336 REVERE AVENUE,10465,1965,1,B1,652500.0,5/13/19,True,False,False,False,True,False
59622,queens,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,1420,1.0,"90-09 NORTHERN BOULEVARD, 506",11369,1953,2,D4,215000.0,9/27/19,True,False,False,False,False,True
1115,manhattan,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS,174,1531.0,"91 LEONARD STREET, 6B",10013,2018,2,R4,1500086.0,9/27/19,True,True,False,False,False,False
5821,manhattan,KIPS BAY,13 CONDOS - ELEVATOR APARTMENTS,928,1622.0,"385 1 AVENUE, 4G",10010,2002,2,R4,1154000.0,5/31/19,True,True,False,False,False,False
48794,queens,BEECHHURST,10 COOPS - ELEVATOR APARTMENTS,4602,30.0,"9-05 166TH STREET, 3C",11357,1958,2,D4,245000.0,10/29/19,True,False,False,False,False,True
55188,queens,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,7002,28.0,77-48 167 STREET,11366,1940,1,A1,441500.0,8/25/19,True,False,False,False,False,True
